repo,file_path,duration_days,event,init_cc,cc_lm,cc_slope,loc_lm,loc_delta,mi_lm,n_authors,lm_days,nesting_lm,comment_ratio_lm,docstring_ratio_lm,max_params_lm,n_except_lm,fan_in_lm,fan_out_lm
airflow,airflow/__init__.py,141,1,2.0,2.0,0.0,41,0,100.0,1,1,2.0,0.03125,0.25,2.0,1.0,66,4
airflow,airflow/bin/cli.py,136,1,8.0,8.0,0.0,473,4,34.64716541097674,1,21,4.0,0.019704433497536946,0.0,1.0,1.0,0,11
airflow,airflow/configuration.py,277,1,3.0,3.0,0.0,57,-1,49.50711176085377,2,9,3.0,0.0,0.0,5.0,1.0,1,3
airflow,airflow/contrib/auth/backends/kerberos_auth.py,1,0,9.0,9.0,0.0,131,0,53.02918836587789,1,4,3.0,0.030927835051546393,0.38461538461538464,2.0,2.0,0,6
airflow,airflow/contrib/auth/backends/ldap_auth.py,70,0,9.0,9.0,0.0,155,0,48.92174615408042,1,7,3.0,0.017699115044247787,0.35714285714285715,2.0,2.0,0,6
airflow,airflow/contrib/auth/backends/password_auth.py,1,0,10.0,10.0,0.0,136,3,45.167598883493085,1,1,3.0,0.0,0.375,2.0,1.0,0,6
airflow,airflow/contrib/executors/mesos_executor.py,48,0,9.0,9.0,0.0,226,1,49.07920715500916,2,2,5.0,0.011363636363636364,0.1111111111111111,5.0,0.0,0,6
airflow,airflow/contrib/hooks/bigquery_hook.py,14,0,8.0,3.0,-5.0,220,52,70.88128292427614,1,1,2.0,0.03260869565217391,0.7,7.0,0.0,0,7
airflow,airflow/contrib/hooks/ssh_hook.py,48,0,7.0,7.0,0.0,120,3,75.15903224057824,1,1,2.0,0.19148936170212766,0.2222222222222222,4.0,0.0,0,3
airflow,airflow/contrib/operators/bigquery_operator.py,2,0,2.0,2.0,0.0,40,-1,100.0,1,1,1.0,0.0,0.5,5.0,0.0,0,2
airflow,airflow/contrib/operators/qubole_operator.py,20,0,6.0,6.0,0.0,126,25,50.62748966073991,1,1,4.0,0.0,0.1111111111111111,6.0,0.0,0,5
airflow,airflow/default_login.py,209,0,3.0,3.0,0.0,74,1,72.8296396494644,3,11,2.0,0.0,0.6666666666666666,2.0,0.0,0,3
airflow,airflow/example_dags/example_python_operator.py,248,0,1.0,1.0,0.0,42,-2,86.77636587010473,3,27,1.0,0.0,0.3333333333333333,1.0,0.0,0,4
airflow,airflow/example_dags/example_xcom.py,83,0,4.0,5.0,1.0,49,-6,81.14657726690633,1,4,1.0,0.16666666666666666,0.0,0.0,0.0,0,3
airflow,airflow/executors/base_executor.py,171,1,2.0,3.0,1.0,53,4,84.11802864511495,2,25,2.0,0.0,0.5555555555555556,3.0,0.0,1,2
airflow,airflow/executors/celery_executor.py,45,0,4.0,4.0,0.0,74,1,65.0105709278815,2,12,3.0,0.03389830508474576,0.1,3.0,1.0,1,4
airflow,airflow/executors/celery_worker.py,53,0,2.0,2.0,0.0,25,6,93.54410636336819,2,5,2.0,0.15789473684210525,0.0,1.0,1.0,1,4
airflow,airflow/executors/local_executor.py,372,0,4.0,4.0,0.0,76,0,64.65620652386464,1,10,3.0,0.06557377049180328,0.0,3.0,1.0,0,5
airflow,airflow/executors/sequential_executor.py,324,0,3.0,3.0,0.0,35,5,100.0,2,83,3.0,0.0,0.16666666666666666,3.0,1.0,0,2
airflow,airflow/hooks/S3_hook.py,247,0,10.0,10.0,0.0,205,20,59.79456971155297,2,23,3.0,0.02702702702702703,0.8181818181818182,4.0,3.0,0,7
airflow,airflow/hooks/__init__.py,184,0,3.0,2.0,-1.0,31,-3,100.0,2,77,2.0,0.0,1.0,0.0,0.0,0,1
airflow,airflow/hooks/base_hook.py,87,1,2.0,2.0,0.0,47,8,82.37755527831506,2,107,2.0,0.0,0.1111111111111111,2.0,0.0,0,3
airflow,airflow/hooks/bigquery_hook.py,7,0,4.0,3.0,-1.0,91,13,83.22602789128229,1,9,2.0,0.04054054054054054,0.5714285714285714,4.0,0.0,0,6
airflow,airflow/hooks/dbapi_hook.py,111,0,10.0,10.0,0.0,147,7,63.09926259118145,2,6,7.0,0.045112781954887216,0.8181818181818182,5.0,0.0,0,5
airflow,airflow/hooks/hdfs_hook.py,145,0,4.0,4.0,0.0,32,7,89.19814974553415,3,34,3.0,0.0,0.4,2.0,0.0,0,2
airflow,airflow/hooks/hive_hook.py,108,0,4.0,4.0,0.0,113,11,57.36464147827772,1,11,3.0,0.020202020202020204,0.1,4.0,1.0,1,9
airflow,airflow/hooks/hive_hooks.py,44,1,6.0,6.0,0.0,264,15,62.665474840133754,1,1,5.0,0.008733624454148471,0.5217391304347826,4.0,1.0,0,10
airflow,airflow/hooks/http_hook.py,177,0,4.0,4.0,0.0,97,1,73.82948192646938,2,35,3.0,0.12195121951219512,0.6666666666666666,5.0,1.0,0,4
airflow,airflow/hooks/jdbc_hook.py,11,0,2.0,2.0,0.0,82,-8,100.0,1,4,2.0,0.21212121212121213,0.4,4.0,0.0,0,3
airflow,airflow/hooks/mysql_hook.py,87,1,3.0,3.0,0.0,72,10,74.389216810534,2,94,3.0,0.0,0.42857142857142855,6.0,0.0,1,3
airflow,airflow/hooks/postgres_hook.py,143,0,3.0,3.0,0.0,78,3,72.6400869544589,1,2,3.0,0.0,0.42857142857142855,8.0,0.0,0,3
airflow,airflow/hooks/presto/presto_hook.py,70,0,3.0,3.0,0.0,54,1,69.46137833084664,1,13,2.0,0.0,0.14285714285714285,3.0,0.0,0,3
airflow,airflow/hooks/presto_hook.py,53,1,2.0,3.0,1.0,84,43,78.67795094561602,2,91,3.0,0.0,0.6666666666666666,5.0,0.0,0,3
airflow,airflow/hooks/sqlite_hook.py,104,0,6.0,6.0,0.0,111,20,77.08704309180506,1,1,5.0,0.0,0.75,4.0,0.0,0,4
airflow,airflow/hooks/webhdfs_hook.py,1,0,4.0,4.0,0.0,82,-4,100.0,1,1,3.0,0.0,0.5714285714285714,5.0,1.0,0,3
airflow,airflow/jobs.py,56,1,19.0,18.0,-1.0,342,2,46.94449428091795,1,4,8.0,0.04406779661016949,0.2857142857142857,5.0,0.0,0,9
airflow,airflow/macros/__init__.py,296,0,2.0,2.0,0.0,14,1,71.44842835188814,2,42,2.0,0.0,0.5,2.0,0.0,0,5
airflow,airflow/macros/hive.py,76,1,1.0,1.0,0.0,10,1,100.0,2,13,1.0,0.0,0.0,3.0,0.0,0,1
airflow,airflow/migrations/env.py,80,0,1.0,1.0,0.0,75,4,100.0,3,79,3.0,0.21818181818181817,0.6666666666666666,0.0,0.0,0,4
airflow,airflow/models.py,13,1,18.0,18.0,0.0,1030,-3,16.933821554869493,1,4,8.0,0.012290502793296089,0.5217391304347826,12.0,2.0,1,15
airflow,airflow/operators/__init__.py,174,0,4.0,2.0,-2.0,47,-1,100.0,1,79,2.0,0.0,1.0,0.0,0.0,0,1
airflow,airflow/operators/bash_operator.py,391,0,3.0,3.0,0.0,37,4,61.20930382786652,1,35,2.0,0.0,0.0,2.0,0.0,3,3
airflow,airflow/operators/check_operator.py,79,0,11.0,11.0,0.0,229,1,58.60232121278911,2,21,4.0,0.0,0.2857142857142857,5.0,2.0,0,3
